candidate,effective_samples,success_rate,runtime_ms_mean,path_length_mean,turn_count_mean,expanded_nodes_mean,d_runtime_vs_fixed,d_path_vs_fixed,d_turn_vs_fixed,d_expand_vs_fixed
log_clip_0.9_2.0,60,1.0,42.92725333410393,409.8846132464142,0.7,1849.0833333333333,-96.5528549980566,3.868183747214516,0.1499999999999999,-4143.066666666667
log_clip_1.1_2.0,60,1.0,46.86382833169773,409.8846132464142,0.7,1848.8166666666666,-92.61628000046281,3.868183747214516,0.1499999999999999,-4143.333333333333
log_clip_1.0_2.0,60,1.0,47.39919999798682,409.8846132464142,0.7,1848.9166666666667,-92.08090833417373,3.868183747214516,0.1499999999999999,-4143.233333333333
log_clip_0.8_2.0,60,1.0,47.90502833445013,409.8846132464142,0.7,1849.15,-91.57507999771042,3.868183747214516,0.1499999999999999,-4143.0
log_clip_0.9_1.8,60,1.0,53.66608166950755,405.95755144461083,0.55,2244.55,-85.81402666265299,-0.05887805458883122,0.0,-3747.5999999999995
log_clip_1.1_1.8,60,1.0,56.964090000352975,405.95755144461083,0.55,2244.2833333333333,-82.51601833180757,-0.05887805458883122,0.0,-3747.8666666666663
log_clip_1.0_1.8,60,1.0,59.52967833291041,405.95755144461083,0.55,2244.383333333333,-79.95042999925013,-0.05887805458883122,0.0,-3747.7666666666664
log_clip_0.9_1.6,60,1.0,64.05989333385757,405.95755144461083,0.55,2493.3,-75.42021499830297,-0.05887805458883122,0.0,-3498.8499999999995
log_clip_0.8_1.6,60,1.0,64.41792666591937,405.95755144461083,0.55,2493.366666666667,-75.06218166624117,-0.05887805458883122,0.0,-3498.783333333333
log_clip_0.8_1.8,60,1.0,65.24646666803164,405.95755144461083,0.55,2244.616666666667,-74.2336416641289,-0.05887805458883122,0.0,-3747.533333333333
log_clip_1.1_1.6,60,1.0,69.17123333842028,405.95755144461083,0.55,2493.0333333333333,-70.30887499374026,-0.05887805458883122,0.0,-3499.1166666666663
log_clip_1.0_1.6,60,1.0,71.11672666796949,405.95755144461083,0.55,2493.133333333333,-68.36338166419105,-0.05887805458883122,0.0,-3499.0166666666664
log_clip_1.0_1.4,60,1.0,81.26950000102322,406.0947028375464,0.6166666666666667,3481.266666666667,-58.21060833113732,0.0782733383467189,0.06666666666666665,-2510.8833333333328
log_clip_0.9_1.4,60,1.0,84.1629766660238,406.0947028375464,0.6166666666666667,3481.4333333333334,-55.317131666136746,0.0782733383467189,0.06666666666666665,-2510.7166666666662
log_clip_0.8_1.4,60,1.0,94.15381833241554,406.0947028375464,0.6166666666666667,3481.5,-45.326289999745,0.0782733383467189,0.06666666666666665,-2510.6499999999996
log_clip_1.1_1.4,60,1.0,97.19842833340711,406.0947028375464,0.6166666666666667,3481.1666666666665,-42.28167999875343,0.0782733383467189,0.06666666666666665,-2510.983333333333
fixed_1.2,60,1.0,139.48010833216054,406.01642949919966,0.55,5992.15,0.0,0.0,0.0,0.0
linear_b1.1_k1.2,60,1.0,343.4225100000428,405.84562391661143,0.5,7944.483333333334,203.94240166788225,-0.17080558258822975,-0.050000000000000044,1952.333333333334
linear_b1.1_k1.0,60,1.0,400.246365001658,405.845524161732,0.5,8294.0,260.76625666949747,-0.17090533746767278,-0.050000000000000044,2301.8500000000004
linear_b1.1_k0.8,60,1.0,432.8427600019495,405.7699314562525,0.48333333333333334,8558.35,293.362651669789,-0.2464980429471666,-0.06666666666666671,2566.2000000000007
linear_b1.1_k0.6,60,1.0,468.9737233342991,405.7698253684523,0.48333333333333334,8836.683333333332,329.49361500213854,-0.24660413074735743,-0.06666666666666671,2844.533333333333
linear_b1.0_k1.0,60,1.0,846.7317649987914,405.7346612950139,0.45,33236.05,707.2516566666309,-0.28176820418576654,-0.10000000000000003,27243.9
linear_b1.0_k0.8,60,1.0,891.4389249946302,405.7345677503425,0.45,33615.78333333333,751.9588166624696,-0.28186174885718174,-0.10000000000000003,27623.63333333333
linear_b1.0_k0.6,60,1.0,1114.4790499985295,405.7345677503425,0.45,33994.35,974.998941666369,-0.28186174885718174,-0.10000000000000003,28002.199999999997
linear_b1.0_k1.2,60,1.0,1218.1369683341472,405.7345677503425,0.45,32853.6,1078.6568600019866,-0.28186174885718174,-0.10000000000000003,26861.449999999997
linear_b0.9_k0.6,60,1.0,1249.95045333247,405.62587074322596,0.48333333333333334,49872.566666666666,1110.4703450003094,-0.39055875597370004,-0.06666666666666671,43880.416666666664
linear_b0.9_k0.8,60,1.0,1291.8625316645678,405.62587074322596,0.48333333333333334,49872.45,1152.3824233324071,-0.39055875597370004,-0.06666666666666671,43880.299999999996
linear_b0.9_k1.2,60,1.0,1308.051759999944,405.62587074322596,0.48333333333333334,49872.45,1168.5716516677833,-0.39055875597370004,-0.06666666666666671,43880.299999999996
linear_b0.9_k1.0,60,1.0,1368.037773333587,405.62587074322596,0.48333333333333334,49872.45,1228.5576650014264,-0.39055875597370004,-0.06666666666666671,43880.299999999996
