size,ratio,metric,baseline,n_pairs,improved_mean,baseline_mean,mean_diff_imp_minus_base,improvement_percent,p_value_perm_two_sided,significant_p_lt_0_05,q_value_bh_fdr,significant_q_lt_0_05
256,0.2653350830078125,runtime_ms,astar,20,0.04146000137552613,0.031355003011412856,0.010104998364113271,-32.22770656547272,0.02948525737131434,1,0.047176411794102945,1
256,0.2653350830078125,path_length,astar,20,4.181805297938359,4.379898987322333,-0.19809368938397398,4.522791278003406,0.7296351824087957,0,0.8320839580209896,0
256,0.2653350830078125,turn_count,astar,20,0.0,0.95,-0.95,100.0,0.0004997501249375312,1,0.0009995002498750624,1
256,0.2653350830078125,runtime_ms,weighted_astar,20,0.04146000137552613,0.025430003006476853,0.016029998369049274,-63.03577064055612,0.0004997501249375312,1,0.0009995002498750624,1
256,0.2653350830078125,path_length,weighted_astar,20,4.181805297938359,4.379898987322333,-0.19809368938397398,4.522791278003406,0.7496251874062968,0,0.8320839580209896,0
256,0.2653350830078125,turn_count,weighted_astar,20,0.0,0.6,-0.6,100.0,0.0004997501249375312,1,0.0009995002498750624,1
256,0.2653350830078125,runtime_ms,jps_like,20,0.04146000137552613,0.0713850022293627,-0.02992500085383657,41.920571435560674,0.0009995002498750624,1,0.0018452312305385769,1
256,0.2653350830078125,path_length,jps_like,20,4.181805297938359,4.379898987322333,-0.19809368938397398,4.522791278003406,0.7456271864067966,0,0.8320839580209896,0
256,0.2653350830078125,turn_count,jps_like,20,0.0,0.9,-0.9,100.0,0.0004997501249375312,1,0.0009995002498750624,1
256,0.2653350830078125,runtime_ms,dijkstra,20,0.04146000137552613,0.22532000002684072,-0.18385999865131458,81.5995023208826,0.0004997501249375312,1,0.0009995002498750624,1
256,0.2653350830078125,path_length,dijkstra,20,4.181805297938359,4.379898987322333,-0.19809368938397398,4.522791278003406,0.7616191904047976,0,0.8320839580209896,0
256,0.2653350830078125,turn_count,dijkstra,20,0.0,0.6,-0.6,100.0,0.0004997501249375312,1,0.0009995002498750624,1
1024,0.2420692443847656,runtime_ms,astar,20,0.05760000494774427,0.03020499716512855,0.027395007782615718,-90.69693876430173,0.0004997501249375312,1,0.0009995002498750624,1
1024,0.2420692443847656,path_length,astar,20,3.9707413753988368,4.112741699796953,-0.14200032439811583,3.4526925044946646,0.8265867066466767,0,0.8320839580209896,0
1024,0.2420692443847656,turn_count,astar,20,0.0,0.65,-0.65,100.0,0.0004997501249375312,1,0.0009995002498750624,1
1024,0.2420692443847656,runtime_ms,weighted_astar,20,0.05760000494774427,0.024079998547676902,0.033520006400067366,-139.20269278131323,0.0004997501249375312,1,0.0009995002498750624,1
1024,0.2420692443847656,path_length,weighted_astar,20,3.9707413753988368,4.112741699796953,-0.14200032439811583,3.4526925044946646,0.8205897051474262,0,0.8320839580209896,0
1024,0.2420692443847656,turn_count,weighted_astar,20,0.0,0.5,-0.5,100.0,0.0014992503748125937,1,0.002570143499678732,1
1024,0.2420692443847656,runtime_ms,jps_like,20,0.05760000494774427,0.06467499333666632,-0.007074988388922052,10.93929511842874,0.511744127936032,0,0.767616191904048,0
1024,0.2420692443847656,path_length,jps_like,20,3.9707413753988368,4.112741699796953,-0.14200032439811583,3.4526925044946646,0.8320839580209896,0,0.8320839580209896,0
1024,0.2420692443847656,turn_count,jps_like,20,0.0,0.95,-0.95,100.0,0.0004997501249375312,1,0.0009995002498750624,1
1024,0.2420692443847656,runtime_ms,dijkstra,20,0.05760000494774427,0.24563499464420596,-0.1880349896964617,76.55057047910624,0.0004997501249375312,1,0.0009995002498750624,1
1024,0.2420692443847656,path_length,dijkstra,20,3.9707413753988368,4.112741699796953,-0.14200032439811583,3.4526925044946646,0.8270864567716142,0,0.8320839580209896,0
1024,0.2420692443847656,turn_count,dijkstra,20,0.0,0.5,-0.5,100.0,0.0004997501249375312,1,0.0009995002498750624,1
