map_name,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
Berlin_0_1024.map,1024,0.24206924438476562,dijkstra,20,1,0.24563499464420602,0.18801981846367777,4.112741699796952,0.5,59.4
Berlin_0_1024.map,1024,0.24206924438476562,astar,20,1,0.03020499716512859,0.014243431014961732,4.112741699796952,0.65,5
Berlin_0_1024.map,1024,0.24206924438476562,weighted_astar,20,1,0.02407999854767695,0.00996411707238598,4.112741699796953,0.5,4.45
Berlin_0_1024.map,1024,0.24206924438476562,jps_like,20,1,0.06467499333666638,0.043132850303773104,4.112741699796952,0.95,4.3
Berlin_0_1024.map,1024,0.24206924438476562,improved_astar,20,1,0.05760000494774431,0.015749256352812616,3.970741375398836,0,2.85
Berlin_0_256.map,256,0.2653350830078125,dijkstra,20,1,0.22532000002684072,0.16350452559056128,4.379898987322333,0.6,55.4
Berlin_0_256.map,256,0.2653350830078125,astar,20,1,0.03135500301141292,0.013665012120009982,4.379898987322333,0.95,5.5
Berlin_0_256.map,256,0.2653350830078125,weighted_astar,20,1,0.02543000300647691,0.009328027195767342,4.379898987322333,0.6,4.8
Berlin_0_256.map,256,0.2653350830078125,jps_like,20,1,0.07138500222936273,0.03516116426999418,4.379898987322333,0.9,4.75
Berlin_0_256.map,256,0.2653350830078125,improved_astar,20,1,0.04146000137552619,0.014228928788672119,4.181805297938359,0,2.85
