size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
20,0.3,dijkstra,30,1,0.5736033315770328,0.3279740016294515,12.297294364012261,3.966666666666667,149.53333333333333
20,0.3,astar,30,1,0.11087666644016281,0.06603659886282225,12.297294364012261,4.366666666666666,20.633333333333333
20,0.3,weighted_astar,30,1,0.08090666475861023,0.04895242587118763,12.388225099390857,4.3,14.3
20,0.3,jps_like,30,1,0.20661999830432856,0.14922199496858413,12.297294364012261,4.233333333333333,18.266666666666666
20,0.3,improved_astar,30,1,0.12109333426148321,0.0890727039880184,11.447764603299316,2.1333333333333333,11.033333333333333
20,0.7,dijkstra,30,1,0.04469666697938616,0.04894347456574916,5.582674358011841,2.2,13.6
20,0.7,astar,30,1,0.036363334220368415,0.08880068437243113,5.582674358011841,2.2333333333333334,8.333333333333334
20,0.7,weighted_astar,30,1,0.02856000210158527,0.05179302886085467,5.582674358011841,2.2666666666666666,8.2
20,0.7,jps_like,30,1,0.039546665599724896,0.07182655657199324,5.5826743580118405,2.3666666666666667,8.066666666666666
20,0.7,improved_astar,30,1,0.0456066676027452,0.07508647761338483,4.881506957376885,1.5,9.233333333333333
40,0.3,dijkstra,30,1,2.2508800015202723,1.2894089781113192,24.98690714874787,8.4,610.2
40,0.3,astar,30,1,0.44504000009813655,0.5847018455354286,24.98690714874787,8.666666666666666,89.16666666666667
40,0.3,weighted_astar,30,1,0.1921999990978899,0.18804619613478077,25.36876861950506,9.166666666666666,37.8
40,0.3,jps_like,30,1,0.8365266670201285,1.1657057635416999,24.986907148747868,9.333333333333334,81.96666666666667
40,0.3,improved_astar,30,1,0.3250466664515746,0.3518693138009311,23.54097411622681,5.2,28.766666666666666
40,0.7,dijkstra,30,1,0.0636566672862197,0.056222264027879165,7.334959107842635,3.1333333333333333,18.533333333333335
40,0.7,astar,30,1,0.03874999820254743,0.036281728712300315,7.334959107842635,3.066666666666667,9.6
40,0.7,weighted_astar,30,1,0.030309998449714232,0.027957791709843968,7.334959107842635,3.1666666666666665,8.866666666666667
40,0.7,jps_like,30,1,0.04894333590830987,0.046871113671304865,7.334959107842634,3,8.966666666666667
40,0.7,improved_astar,30,1,0.05821666515354688,0.054820306894414174,6.251141851360095,1.8666666666666667,11
80,0.3,dijkstra,30,1,7.8510533314935556,4.194052893646899,46.44440593103211,15.7,2182.633333333333
80,0.3,astar,30,1,0.9374333336988153,0.8295651633737812,46.44440593103211,15.4,211.66666666666666
80,0.3,weighted_astar,30,1,0.2879599992108221,0.16159880277479055,47.46000717874996,16.4,58.733333333333334
80,0.3,jps_like,30,1,1.9776499995108072,2.1043973791928154,46.44440593103211,16.2,203.2
80,0.3,improved_astar,30,1,0.4669999999653858,0.33046058364983694,43.88502863896034,9.066666666666666,44.03333333333333
80,0.7,dijkstra,30,1,0.09329333164108296,0.11746372052093806,8.44304713074661,3.8333333333333335,28.733333333333334
80,0.7,astar,30,1,0.04973666655132547,0.08769161039849811,8.44304713074661,3.933333333333333,13.5
80,0.7,weighted_astar,30,1,0.03871000080835074,0.06580828599770318,8.44304713074661,3.9,11.866666666666667
80,0.7,jps_like,30,1,0.06664666628542666,0.11154451615061269,8.44304713074661,4,13
80,0.7,improved_astar,30,1,0.08653999878636871,0.13395754153588627,7.291599572641318,2.2333333333333334,17.066666666666666
100,0.3,dijkstra,30,1,13.866646665458878,7.874170289199743,61.172496346852725,20.333333333333332,3855.633333333333
100,0.3,astar,30,1,1.4155033335555345,1.1699355717196338,61.172496346852725,20.266666666666666,314.26666666666665
100,0.3,weighted_astar,30,1,0.35650666783719015,0.17905265765016656,62.74038234440137,22.366666666666667,71.9
100,0.3,jps_like,30,1,2.917256666599618,2.666661765972429,61.172496346852725,21.1,309.3666666666667
100,0.3,improved_astar,30,1,0.5230600009478318,0.2663119498940606,58.28842469322781,13.2,50.03333333333333
100,0.7,dijkstra,30,1,0.11520333306786294,0.14000927016144954,11.108157757605746,5.1,39.333333333333336
100,0.7,astar,30,1,0.060369999846443534,0.07247472528352557,11.108157757605746,5.233333333333333,18.733333333333334
100,0.7,weighted_astar,30,1,0.050183334678877145,0.06200297841984491,11.108157757605746,5.166666666666667,16.1
100,0.7,jps_like,30,1,0.09181666537187994,0.12062289749792303,11.108157757605744,5.2,18.166666666666668
100,0.7,improved_astar,30,1,0.11284333207489301,0.14735123714993253,9.565451479729662,3.3,22.666666666666668
