size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean
20,0.3,dijkstra,30,1,0.43303333174359676,0.3001563748566674,11.177768149424699,3.8333333333333335,136.63333333333333
20,0.3,astar,30,1,0.09629666650046904,0.07852611700197798,11.177768149424699,4,22.7
20,0.3,weighted_astar,30,1,0.05745666761261722,0.034572780062034736,11.343453574373937,3.9,13.2
20,0.3,jps_like,30,1,0.16539999924134463,0.15137277906020416,11.177768149424697,4.1,19.133333333333333
20,0.3,improved_astar,30,1,0.0878433328277121,0.06260891683074275,10.312875496108367,2.3333333333333335,9.9
20,0.7,dijkstra,30,1,0.04226666690859323,0.02485207352909316,6.478342947514801,3.066666666666667,14.633333333333333
20,0.7,astar,30,1,0.024856666762692232,0.016758155212538775,6.478342947514801,3.066666666666667,7.766666666666667
20,0.7,weighted_astar,30,1,0.024416665352570515,0.018127918184589115,6.478342947514801,3.066666666666667,7.333333333333333
20,0.7,jps_like,30,1,0.035433333444719516,0.02575860239717699,6.478342947514801,3.1,7.566666666666666
20,0.7,improved_astar,30,1,0.03890333270343641,0.028843225407443218,5.64458016774133,2,8.5
40,0.3,dijkstra,30,1,1.920366666551369,1.0893938693823282,23.01983403845388,7.2,565.9666666666667
40,0.3,astar,30,1,0.27289666516783956,0.23350909426161903,23.01983403845388,8.066666666666666,61.166666666666664
40,0.3,weighted_astar,30,1,0.1214499997634751,0.05927053120156154,23.378819125843897,8.133333333333333,25.633333333333333
40,0.3,jps_like,30,1,0.48057333333417773,0.45370281560248643,23.01983403845388,8.2,53.06666666666667
40,0.3,improved_astar,30,1,0.18402000083976114,0.09354050157439558,21.54973166578808,4.2,18.233333333333334
40,0.7,dijkstra,30,1,0.0979733338075069,0.10424088115405836,10.75864837846446,5,28.433333333333334
40,0.7,astar,30,1,0.05991333358300229,0.07672597319880674,10.75864837846446,4.833333333333333,15.566666666666666
40,0.7,weighted_astar,30,1,0.04438333368549744,0.04846485329043614,10.75864837846446,4.766666666666667,13.6
40,0.7,jps_like,30,1,0.07254666755519186,0.07718840542648041,10.75864837846446,5.033333333333333,15.166666666666666
40,0.7,improved_astar,30,1,0.09654999982255201,0.10255475847266243,9.207915314112086,2.9,18.566666666666666
80,0.3,dijkstra,30,1,6.289513332982703,4.283365100640656,38.46173157302027,12.033333333333333,1836.6
80,0.3,astar,30,1,0.6296266660986779,0.49411471534683166,38.46173157302027,12.166666666666666,144.5
80,0.3,weighted_astar,30,1,0.240879998212525,0.1475973903214727,39.19449010826351,13.333333333333334,48.8
80,0.3,jps_like,30,1,1.2703000000328757,1.085337542993187,38.46173157302027,13.066666666666666,139.23333333333332
80,0.3,improved_astar,30,1,0.3481633330617721,0.2142068420435431,36.20051561236617,7.466666666666667,32.46666666666667
80,0.7,dijkstra,30,1,0.11023999977624044,0.09138586606204234,12.262404990871397,6.266666666666667,35.266666666666666
80,0.7,astar,30,1,0.06606666623459508,0.06607590343699186,12.262404990871397,6.233333333333333,18.466666666666665
80,0.7,weighted_astar,30,1,0.05785666774803152,0.0710722137697767,12.262404990871397,6.2,16.066666666666666
80,0.7,jps_like,30,1,0.09057666660131265,0.09036467800118929,12.262404990871396,6.233333333333333,18.133333333333333
80,0.7,improved_astar,30,1,0.1211433327019525,0.14504126667007594,10.526240364977347,3.9,22.4
100,0.3,dijkstra,30,1,12.270883333015567,6.7959016033247375,60.15297013226517,20.733333333333334,3592.866666666667
100,0.3,astar,30,1,1.397023333023147,1.3526999047259867,60.15297013226517,19.4,322.46666666666664
100,0.3,weighted_astar,30,1,0.35579999967012554,0.1690363653151615,62.09127940888742,22.6,73.03333333333333
100,0.3,jps_like,30,1,2.878566667883812,2.7675118995280585,60.15297013226517,21.4,319.43333333333334
100,0.3,improved_astar,30,1,0.5428333320499709,0.31705596280997067,57.23614332017083,12.5,50.9
100,0.7,dijkstra,30,1,0.10002999915741384,0.09353984967170655,12.929071657538064,6.5,35.13333333333333
100,0.7,astar,30,1,0.06873333380402376,0.08991443968148809,12.929071657538064,6.4,20.566666666666666
100,0.7,weighted_astar,30,1,0.05465666423939789,0.05694567409876725,12.929071657538064,6.366666666666666,18.333333333333332
100,0.7,jps_like,30,1,0.09669000137364492,0.10039299086967747,12.929071657538062,6.566666666666666,20.266666666666666
100,0.7,improved_astar,30,1,0.10292333317920566,0.09872849856046904,11.051350456713308,4,23.233333333333334
